open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote
1771581600000,68218.85,68318.39,67843.42,67948.99,638.74258,1771585199999,43509991.6746788,139500,243.19302,16572343.7058681
1771585200000,67948.99,67983.91,67280.6,67318.41,1489.10389,1771588799999,100771194.4243672,165055,485.85945,32888267.8759926
1771588800000,67318.41,67594.0,67276.41,67541.77,603.15784,1771592399999,40673530.4172987,126474,277.43862,18712645.4215856
1771592400000,67541.78,67541.78,66280.2,66801.62,7078.59491,1771595999999,472253687.9468413,454409,2119.20607,141479095.3680397
1771596000000,66801.62,67317.5,66532.87,67069.65,5263.48808,1771599599999,351827433.3575017,410056,1855.50254,124130978.5892692
1771599600000,67069.65,68083.98,66536.64,67582.95,3143.21056,1771603199999,211814571.1295458,714853,1772.53337,119461196.668753
1771603200000,67582.95,67921.7,67283.24,67795.47,1312.90303,1771606799999,88816721.1589468,375856,707.32696,47859565.2360373
1771606800000,67795.48,67795.48,66952.11,67613.37,6085.1555,1771610399999,408873497.9426541,484654,1945.93461,130843274.9492769
1771610400000,67613.38,68000.0,67466.11,67924.21,1321.6326,1771613999999,89503419.244067,343806,786.7587,53289293.1384073
1771614000000,67924.22,68000.0,67548.85,67646.03,854.45567,1771617599999,57862470.8173443,191461,482.35593,32662599.7810234
1771617600000,67646.03,67885.55,67520.3,67750.4,685.93834,1771621199999,46455639.6891256,145535,468.20153,31713251.7324231
1771621200000,67750.4,67840.0,67639.29,67825.87,451.92527,1771624799999,30617763.5939987,85988,292.40619,19810205.9044779
1771624800000,67825.87,68116.6,67639.31,68078.13,669.63597,1771628399999,45477160.748621,126846,420.74064,28579230.4329588
1771628400000,68078.13,68233.99,67914.0,68020.01,582.73901,1771631999999,39653517.3188474,94597,373.51407,25415989.7401516
1771632000000,68020.0,68051.16,67787.19,67841.0,537.54494,1771635599999,36503123.1142353,75978,269.29884,18290386.2004525
1771635600000,67841.0,68005.99,67841.0,67951.24,250.62697,1771639199999,17018896.0981025,49808,169.25187,11492524.521719
1771639200000,67951.25,68099.54,67913.3,68001.05,224.56497,1771642799999,15273167.6212178,46942,135.36924,9205980.7200145
1771642800000,68001.04,68001.04,67534.69,67667.77,569.35853,1771646399999,38568911.2954951,89390,239.29104,16208369.6881893
1771646400000,67667.77,67846.88,67593.99,67816.97,228.62441,1771649999999,15476797.7569085,54930,137.21523,9289570.3993341
1771650000000,67816.98,67888.4,67799.7,67851.93,141.24714,1771653599999,9583260.4722714,38996,74.53693,5057273.6802161
1771653600000,67851.93,67924.39,67750.96,67793.38,228.15051,1771657199999,15479586.4501597,43150,106.8318,7248873.0406117
1771657200000,67793.39,67884.74,67749.59,67856.01,118.21011,1771660799999,8019341.9967608,29901,47.02708,3190233.0947628
1771660800000,67856.01,68079.41,67807.3,68055.03,293.16321,1771664399999,19924434.137958,49379,144.5521,9825653.8205495
1771664400000,68055.04,68314.54,67978.9,68147.53,599.79254,1771667999999,40896879.3832183,81854,339.41056,23144986.7058634
1771668000000,68147.54,68250.0,68139.65,68215.54,212.21766,1771671599999,14472075.0922083,51695,119.84701,8172946.5746401
1771671600000,68215.55,68283.34,68084.0,68092.45,279.32431,1771675199999,19046317.1113686,65994,131.67425,8978584.9496629
1771675200000,68092.45,68218.2,67915.0,68203.42,307.88407,1771678799999,20948027.6138591,67237,131.56462,8953230.2707026
1771678800000,68203.42,68260.0,68106.89,68259.99,202.25945,1771682399999,13792714.4828962,55923,101.58287,6927879.1738677
1771682400000,68259.99,68644.0,68180.53,68450.01,880.51744,1771685999999,60288723.1540272,133782,469.31037,32130760.6913499
1771686000000,68450.01,68698.7,68417.0,68615.0,427.6444,1771689599999,29312462.7447591,88325,241.61513,16561413.9728736
1771689600000,68615.01,68630.76,68101.78,68322.6,658.4992,1771693199999,44974618.7944532,120356,324.1624,22134659.4230727
1771693200000,68322.61,68474.01,68200.0,68437.45,212.23015,1771696799999,14503939.3377244,68453,107.66631,7358350.2812262
1771696800000,68437.45,68644.0,68383.08,68574.0,320.28262,1771700399999,21949099.1093757,61749,156.57328,10730308.7222691
1771700400000,68573.99,68658.5,68526.81,68543.51,219.15242,1771703999999,15032657.712759,45846,91.05307,6246088.6234139
1771704000000,68543.51,68605.63,68190.0,68211.19,369.37236,1771707599999,25272806.5810685,55084,142.90406,9781683.4459063
1771707600000,68211.19,68390.93,68183.1,68379.95,170.62817,1771711199999,11653813.845771,47826,71.16066,4860545.598399
1771711200000,68379.95,68437.56,67900.0,67972.0,378.72918,1771714799999,25804428.160763,97095,153.64839,10469269.6560256
1771714800000,67972.0,68124.54,67941.02,67975.93,202.81655,1771718399999,13795996.7798382,73846,97.91495,6660119.4221575
